algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
RANDOM,27,0,0,0,0.0004,False
BFS,27,0,0,0,8e-05,False
DFS,27,0,0,0,4.8e-05,False
DLS-50,27,0,0,0,3.6e-05,False
DLS-75,27,0,0,0,3.3e-05,False
DLS-100,27,0,0,0,2.9e-05,False
UCS,27,766,26,53,0.053038,True
A* (esc1),27,137,26,125,0.006381,True
A* (esc2),27,142,24,87,0.012825,True
RANDOM,28,0,0,0,0.00037,False
BFS,28,0,0,0,8e-05,False
DFS,28,0,0,0,4.5e-05,False
DLS-50,28,0,0,0,3.5e-05,False
DLS-75,28,0,0,0,3.3e-05,False
DLS-100,28,0,0,0,3.1e-05,False
UCS,28,0,0,0,0.345007,False
A* (esc1),28,0,0,0,0.205614,False
A* (esc2),28,537,47,164,0.014055,True
RANDOM,29,0,0,0,0.00033,False
BFS,29,0,0,0,7.3e-05,False
DFS,29,0,0,0,5.2e-05,False
DLS-50,29,0,0,0,3.1e-05,False
DLS-75,29,0,0,0,2.9e-05,False
DLS-100,29,0,0,0,2.9e-05,False
UCS,29,2834,76,94,0.100651,True
A* (esc1),29,841,80,593,0.027957,True
A* (esc2),29,98,82,217,0.002577,True
RANDOM,30,0,0,0,0.000354,False
BFS,30,0,0,0,0.000101,False
DFS,30,0,0,0,5.5e-05,False
DLS-50,30,0,0,0,3.8e-05,False
DLS-75,30,0,0,0,4e-05,False
DLS-100,30,0,0,0,3.6e-05,False
UCS,30,2234,49,67,0.082503,True
A* (esc1),30,186,31,193,0.004114,True
A* (esc2),30,222,45,135,0.005257,True
