env,algorithm,scenario,states_explored,actions_taken,total_cost,time_seconds,solution_found
18,UCS,2,45,6,15,0.00018455499957781285,True
18,A1,1,12,6,6,5.558400062000146e-05,True
18,A2,2,12,6,15,5.033699926570989e-05,True
19,RANDOM,1,,,,8.571999387640972e-06,False
19,RANDOM,2,,,,8.571999387640972e-06,False
19,BFS,1,1152,27,27,0.0031113699997149524,True
19,BFS,2,1152,27,117,0.0031113699997149524,True
19,DFS,1,1826,1667,1667,0.00438427200060687,True
19,DFS,2,1826,1667,5123,0.00438427200060687,True
19,DLS-50,1,12465,49,49,0.048595277000458736,True
19,DLS-50,2,12465,49,157,0.048595277000458736,True
19,DLS-75,1,16902,75,75,0.056191734000094584,True
19,DLS-75,2,16902,75,273,0.056191734000094584,True
19,DLS-100,1,8458,99,99,0.02620469400062575,True
19,DLS-100,2,8458,99,351,0.02620469400062575,True
19,UCS,1,1493,27,27,0.005599713000265183,True
19,UCS,2,1493,27,117,0.005599713000265183,True
19,A1,1,172,27,27,0.0006236270000954391,True
19,A2,2,172,27,117,0.0006659210002908367,True
20,RANDOM,1,,,,5.448400042951107e-05,False
20,RANDOM,2,,,,5.448400042951107e-05,False
20,BFS,1,765,21,21,0.0022035989995856653,True
20,BFS,2,765,21,156,0.0022035989995856653,True
20,DFS,1,6025,5529,5529,0.014132612000139488,True
20,DFS,2,6025,5529,17184,0.014132612000139488,True
20,DLS-50,1,10202,49,49,0.041148233999592776,True
20,DLS-50,2,10202,49,202,0.041148233999592776,True
20,DLS-75,1,15160,75,75,0.04892658799963101,True
20,DLS-75,2,15160,75,228,0.04892658799963101,True
20,DLS-100,1,21834,99,99,0.06917975800024578,True
20,DLS-100,2,21834,99,252,0.06917975800024578,True
20,UCS,1,2325,21,21,0.008857130000251345,True
20,UCS,2,2325,21,156,0.008857130000251345,True
20,A1,1,44,21,21,0.0001755579996824963,True
20,A2,2,44,21,156,0.00016414599940617336,True
21,RANDOM,1,,,,1.0116999874298926e-05,False
21,RANDOM,2,,,,1.0116999874298926e-05,False
21,BFS,1,4464,54,54,0.012674866999986989,True
21,BFS,2,4464,54,315,0.012674866999986989,True
21,DFS,1,4952,4630,4630,0.011542486000507779,True
21,DFS,2,4952,4630,14629,0.011542486000507779,True
21,DLS-50,1,,,,0.14235756800007948,False
21,DLS-50,2,,,,0.14235756800007948,False
21,DLS-75,1,65943,74,74,0.22624672500023735,True
21,DLS-75,2,65943,74,335,0.22624672500023735,True
21,DLS-100,1,82641,100,100,0.27072032100022625,True
21,DLS-100,2,82641,100,397,0.27072032100022625,True
21,UCS,1,5134,54,54,0.0194865210005446,True
21,UCS,2,5134,54,315,0.0194865210005446,True
21,A1,1,653,54,54,0.0023686470003667637,True
21,A2,2,653,54,315,0.0025407150005776202,True
22,RANDOM,1,,,,1.015799989545485e-05,False
22,RANDOM,2,,,,1.015799989545485e-05,False
22,BFS,1,1931,33,33,0.005317903999639384,True
22,BFS,2,1931,33,87,0.005317903999639384,True
22,DFS,1,6913,6535,6535,0.01605212800041045,True
22,DFS,2,6913,6535,20215,0.01605212800041045,True
22,DLS-50,1,19203,49,49,0.07366509399980714,True
22,DLS-50,2,19203,49,139,0.07366509399980714,True
22,DLS-75,1,24552,75,75,0.08300040599988279,True
22,DLS-75,2,24552,75,165,0.08300040599988279,True
22,DLS-100,1,35669,99,99,0.11590927699944586,True
22,DLS-100,2,35669,99,351,0.11590927699944586,True
22,UCS,1,888,33,33,0.0032912670003497624,True
22,UCS,2,888,33,87,0.0032912670003497624,True
22,A1,1,170,33,33,0.0006254029995034216,True
22,A2,2,170,33,87,0.0006458159996327595,True
23,RANDOM,1,,,,1.1371999789844267e-05,False
23,RANDOM,2,,,,1.1371999789844267e-05,False
23,BFS,1,1735,39,39,0.004932099000143353,True
23,BFS,2,1735,39,255,0.004932099000143353,True
23,DFS,1,2272,2099,2099,0.005608699999356759,True
23,DFS,2,2272,2099,6383,0.005608699999356759,True
23,DLS-50,1,5227,49,49,0.021096402999319253,True
